Gene,positivePosteriorProb,negativePosteriorProb,FDR
A2M,0.025419598,0.059759986,0.77261258
A4GALT,0.021023871,0.071104589,0.756397148
AACS,0.711040726,0.236471018,0.001882717
AATF,0.034249288,0.169465466,0.487002496
ABCA13,0.028066112,0.085075956,0.688132871
ABCA1,0.037218492,0.155429452,0.505570593
ABCA3,0.027813851,0.089109233,0.675365765
ABCA4,0.026366453,0.068284061,0.748442666
ABCA5,0.019394762,0.04735704,0.783335362
ABCA6,0.027695467,0.081283388,0.700924728
ABCA7,0.029912426,0.117447888,0.595963011
ABCA9,0.026517924,0.07502035,0.725462368
ABCB10,0.456806381,0.065874017,0.156056711
ABCB11,0.026059326,0.069767869,0.744411537
ABCB1,0.030329443,0.097244014,0.643934129
ABCB8,0.025928626,0.066534221,0.755429229
ABCC1,0.026970319,0.077334047,0.716122053
ABCC3,0.027374169,0.081948678,0.69977534
ABCC4,0.025642427,0.062388801,0.767367881
ABCD2,0.027003255,0.080773566,0.704818125
ABCD4,0.031382818,0.125790643,0.574839778
ABCG2,0.025520241,0.06070301,0.770901593
ABHD17A,0.038411122,0.384972928,0.232620284
ABI1,0.023085591,0.06415559,0.769151092
ABLIM2,0.075734219,0.19042131,0.395910086
ABTB1,0.027999034,0.088977526,0.675188014
ACADM,0.02055158,0.068292915,0.765410888
ACO2,0.06901821,0.285471101,0.290871698
ACOT6,0.025496895,0.06023896,0.771780449
ACSBG1,0.025913385,0.065089743,0.759592824
ACSL5,0.022562708,0.095110563,0.673396999
ACSL6,0.021762639,0.196666554,0.464831355
ACSS1,0.026197693,0.070190168,0.742711211
ACTA2,0.032803514,0.101113357,0.627707641
ACTB,0.028609063,0.103269848,0.632985336
ACTG1,0.071490346,0.18858725,0.404477937
ACTL6B,0.028134749,0.085853914,0.685411518
ACTR3B,0.025934508,0.066305396,0.756103168
ACTR3,0.032192797,0.134878106,0.552886573
ACTR8,0.999993033,0.612825869,0
ACYP1,0.025820066,0.065596827,0.758474947
ADAM12,0.027092589,0.083053121,0.697294044
ADAM15,0.16329091,0.181877852,0.298031142
ADAM17,0.026274929,0.070986437,0.73946958
ADAM19,0.027432261,0.091049851,0.670528841
ADAM22,0.021813484,0.052615453,0.779664834
ADAM28,0.025501129,0.060517441,0.771371961
ADAMTS12,0.026658951,0.076130183,0.721050669
ADAMTS20,0.026579208,0.077381159,0.717182787
ADAMTSL1,0.025318655,0.058461756,0.774616183
ADAMTSL3,0.026644614,0.077965006,0.715176274
ADAMTSL5,0.026083883,0.067538013,0.751946952
ADAR,0.021386997,0.091445216,0.689063937
ADA,0.026907583,0.083428192,0.696723451
ADCY10,0.02668745,0.076380511,0.720131135
ADCY1,0.025818022,0.064975935,0.760214238
ADCY2,0.025935583,0.066780773,0.754666684
ADCY3,0.027510296,0.086958178,0.683814241
ADCY4,0.023428308,0.069909561,0.752842167
ADCY5,0.026113452,0.069392975,0.745581228
ADCY6,0.027569649,0.090184762,0.672984022
ADCY7,0.020630681,0.064731139,0.772355746
ADCY8,0.026042691,0.066463765,0.755310501
ADCY9,0.026406341,0.072945391,0.732593309
ADCYAP1,0.024552713,0.07477147,0.732684001
ADD1,0.019586763,0.048488394,0.782610705
ADH1A,0.02567939,0.062635965,0.766541814
ADH6,0.027798043,0.098547777,0.647623787
ADH7,0.02666793,0.076204834,0.720694042
ADHFE1,0.032614348,0.115522097,0.594232596
ADIRF,0.028148495,0.081035137,0.700146089
ADM2,0.02787488,0.103929359,0.633193896
ADM,0.02108024,0.063336098,0.77385818
ADPRHL1,0.026359808,0.072186631,0.735087316
ADSS,0.058694888,0.47858619,0.145622603
AFAP1L2,0.023954824,0.088764546,0.68938019
AFF1,0.022372536,0.100499418,0.657371821
AFF3,0.348516207,0.133648671,0.185035343
AFF4,0.033204718,0.168512072,0.490257458
AFMID,0.025906402,0.065052787,0.759683482
AFP,0.029859136,0.10634353,0.621745758
AGAP2,0.025795134,0.0650589,0.760045193
AGFG2,0.02628754,0.069693698,0.743942269
AGPAT2,0.028066141,0.083565837,0.692890845
AGT,0.028596651,0.098838343,0.644320496
AHCYL2,0.028916568,0.121302919,0.589299358
AHNAK,0.028435358,0.105835323,0.626549082
AHR,0.025774139,0.063229038,0.764984554
AICDA,0.025713477,0.063542348,0.764319839
AIF1,0.026691701,0.077636436,0.716033188
AIFM1,0.026318739,0.070434716,0.741325847
AIFM2,0.019436612,0.049255989,0.782243136
AIM1,0.027223235,0.080514005,0.704956074
AJUBA,0.025707441,0.092061433,0.672906424
AKAP2,0.025912067,0.091478467,0.674218758
AKR1C1,0.020139613,0.061168292,0.776531813
AKR1C2,0.020887125,0.063575052,0.773741122
AKR1C3,0.028922324,0.068197393,0.739891523
AKR1C4,0.030347857,0.083347226,0.686294703
AKR1D1,0.029274635,0.092489965,0.660774037
ALAD,0.029549549,0.141794476,0.544379905
ALCAM,0.026331961,0.072116847,0.735484699
ALDH1A1,0.06939756,0.349929898,0.235729674
