gene_names,CRISPRa_phenotype
A1BG,0.00691818
A1CF,0.04046611
A2M,0.005682367
A2ML1,0.056052086
A4GALT,0.176792867
AAAS,0.026293039
AACS,-0.055804666
AADAC,0.022720747
AADACL2,-0.004914732
AADAT,-0.066502122
AAED1,0.024014257
AAGAB,-0.038513779
AAK1,-0.01050895
AAMDC,-0.088768472
AAMP,-0.003483854
AANAT,0.08505283
AAR2,0.010975261
AARS,-0.039008002
AARS2,0.021617174
AARSD1,0.02304608
AASDH,0.055653935
AASDHPPT,-0.054140985
AASS,0.014817014
AATF,0.011725483
AATK,0.164467326
ABAT,-0.022632309
ABCA1,-0.011513815
ABCA12,0.016586066
ABCA13,0.045626433
ABCA2,0.048338496
ABCA3,0.055147914
ABCA4,-0.005220249
ABCA5,-0.059286674
ABCA6,0.055326844
ABCA7,0.004670559
ABCA8,0.018245956
ABCA9,0.035687657
ABCB1,0.020742634
ABCB10,0.103734737
ABCB11,-0.005584223
ABCB4,-0.031601544
ABCB6,0.036715542
ABCB7,0.05953074
ABCB8,-0.031992712
ABCB9,-0.043141404
ABCC1,0.100730852
ABCC10,0.07585444
ABCC12,-0.001982529
ABCC2,0.064573128
ABCC3,-0.011285398
ABCC4,-0.009272851
ABCC5,0.02125063
ABCC6,-0.009072478
ABCC8,-0.034743005
ABCC9,0.01320254
ABCD1,0.009853656
ABCD2,0.025922268
ABCD3,-0.050553009
ABCD4,0.04080086
ABCE1,-0.046072086
ABCF1,-0.012857881
ABCF2,-0.057213974
ABCF3,0.029557475
ABCG1,0.022647291
ABCG2,-0.017389279
ABCG4,-0.034450378
ABHD1,-0.041008614
ABHD10,0.010132932
ABHD11,0.049562044
ABHD12,0.030457897
ABHD13,-0.023150974
ABHD14A,-0.005668027
ABHD14B,-0.125744026
ABHD15,0.113321508
ABHD17A,0.081840222
ABHD17B,0.001470678
ABHD17C,0.136777936
ABHD2,-0.014345008
ABHD3,0.071654038
ABHD4,-0.03097809
ABHD5,-0.024134964
ABHD6,-0.035129967
ABHD8,0.068497989
ABI1,0.017203191
ABI2,0.032642173
ABL1,0.045060682
ABL2,0.163398912
ABLIM1,0.025145702
ABLIM2,-0.051249791
